1X2 <> 1
1X2 <> 2
1X2 <> X
U/O 0.5 <> OVER 0.5
U/O 1.5 <> OVER 1.5
U/O 2.5 <> OVER 2.5
U/O 3.5 <> OVER 3.5
U/O 4.5 <> OVER 4.5
U/O 5.5 <> OVER 5.5
U/O 6.5 <> OVER 6.5
U/O 0.5 <> UNDER 0.5
U/O 1.5 <> UNDER 1.5
U/O 2.5 <> UNDER 2.5
U/O 3.5 <> UNDER 3.5
U/O 4.5 <> UNDER 4.5
U/O 5.5 <> UNDER 5.5
U/O 6.5 <> UNDER 6.5
GOAL/NOGOAL <> GOAL
GOAL/NOGOAL <> NOGOAL
ESPULSIONE SI/NO <> NO
ESPULSIONE SI/NO <> SI
DOPPIA CHANCE IN <> 1X
DOPPIA CHANCE IN/OUT <> 12
DOPPIA CHANCE OUT <> X2
